வார்த்தைகள்,எண்ணிக்கை
அந்தக்குட்டி,1
அமர்ந்துகொண்டதும்,1
சுற்றிவளைத்திருக்க,1
மறைந்தான்,1
கீழ்ப்பகுதியை,1
துள்ளித்துள்ளி,1
முதல்முடிவற்றது,1
தொட்டுத்தொட்டு,1
அரண்மனைமுகடு,1
புகுந்துகொண்டது,1
நம்மை,1
காளான்,1
வாழவேண்டுமென,1
செய்வாயாக,1
இருபதாண்டுகாலம்,1
சித்தமாகவில்லை,1
கொண்டுவருவோம்,1
அதையே,1
சொல்லும்படி,1
குருஷேத்ரமாகியது,1
வேதபண்டிதர்களின்,1
புத்தாடை,1
செம்பட்டுப்பீடத்தில்,1
ஊர்பவையும்,1
பூமியுடன்,1
வடிவில்,1
அதற்கான,1
வருவதே,1
இருக்கும்,1
பகடையாட்டத்தில்,1
பொன்னாலான,1
கிருஷ்ணையின்,1
அறிவுத்திறன்,1
விண்ணக,1
தலைமீது,1
உருவாக்கிக்,1
அடுத்தசொல்லை,1
வேட்டிகட்டி,1
துவர்ப்பும்,1
எழுதிமுடித்தார்,1
கூரையெங்கும்,1
வேண்டியது,1
நிறைந்திருந்தது,1
மரங்களின்,1
நிலையில்,1
ஸித்தி,1
நாகபாகினி,1
சொல்லெனில்,1
கோயில்கொண்டிருப்பவள்,1
அரசனான,1
அகல்விளக்கை,1
முழங்கின,1
நம்மிடமிருக்கும்,1
மூலைமுடுக்குகளிலும்,1
முதிர்ந்து,1
காவியத்தைப்,1
அவமதிக்க,1
சுருதசேனனிடம்,1
எதிர்பார்த்திருந்தது,1
விறகெடுத்தலும்,1
வானம்,1
ஆசனத்தில்,1
மறுபக்கத்தால்,1
அமர்ந்திருக்கையில்,1
வம்சத்தில்,1
சொல்கிறார்,1
நெறிகளும்,1
திரட்டுவோம்,1
மன்னர்களும்,1
பகையானை,1
பாடக்கேட்டான்,1
நாக்குகள்,1
துவாரகைக்கு,1
அவிப்பொருட்களை,1
நாற்பதுநாட்களுக்கு,1
கைகளால்,1
அகன்றுவிட்டதே,1
குடித்தலைவர்,1
தலைமுறைக்காலத்துக்குப்பின்,1
பச்சைத்தழைப்பு,1
தோலாக,1
வேள்விக்காவலனாகிய,1
கூப்பினார்,1
பாரதத்தில்,1
தவிர,1
ஊழ்கமும்,1
மடிமீது,1
அடையாளம்,1
கோரினாள்,1
அறியாத,1
இமயமுகடுகள்,1
ஒன்றாகிவிட்டதாக,1
வனமிருகம்,1
பத்திகளை,1
வாத்தியங்கள்,1
சூத்திரர்,1
அவருக்கு,1
நாகங்களுடன்,1
தெளியும்தோறும்,1
மன்னர்களின்,1
நீர்க்கடன்களும்,1
ஏணிகளில்,1
இலையடர்வு,1
மைய,1
பெருமரம்போல,1
பெருநிகழ்வொன்று,1
